abbreviation	name	compartment
s_1127	s_1127	NA
s_0581	s_0581	NA
s_0976	s_0976	NA
s_1043	s_1043	NA
s_0074	s_0074	NA
s_1186	s_1186	NA
s_0504	s_0504	NA
s_1333	s_1333	NA
s_0506	s_0506	NA
s_1128	s_1128	NA
s_0977	s_0977	NA
s_0833	s_0833	NA
s_1264	s_1264	NA
s_0681	s_0681	NA
s_0802	s_0802	NA
s_0683	s_0683	NA
s_0657	s_0657	NA
s_0685	s_0685	NA
s_0686	s_0686	NA
s_0688	s_0688	NA
s_0717	s_0717	NA
s_1298	s_1298	NA
s_0691	s_0691	NA
s_0123	s_0123	NA
s_0537	s_0537	NA
s_0731	s_0731	NA
s_0069	s_0069	NA
s_0694	s_0694	NA
s_0071	s_0071	NA
s_1338	s_1338	NA
s_1340	s_1340	NA
s_0687	s_0687	NA
s_0891	s_0891	NA
s_0895	s_0895	NA
s_0540	s_0540	NA
s_0420	s_0420	NA
s_1413	s_1413	NA
s_0896	s_0896	NA
s_1196	s_1196	NA
s_0744	s_0744	NA
s_0455	s_0455	NA
s_0422	s_0422	NA
s_0411	s_0411	NA
s_0343	s_0343	NA
s_0894	s_0894	NA
s_0905	s_0905	NA
s_0333	s_0333	NA
s_0714	s_0714	NA
s_0715	s_0715	NA
s_0716	s_0716	NA
s_0721	s_0721	NA
s_0723	s_0723	NA
s_0719	s_0719	NA
s_1315	s_1315	NA
s_1318	s_1318	NA
s_0738	s_0738	NA
s_0736	s_0736	NA
s_0388	s_0388	NA
s_0737	s_0737	NA
s_0389	s_0389	NA
s_1316	s_1316	NA
s_1317	s_1317	NA
s_0084	s_0084	NA
s_1311	s_1311	NA
s_0860	s_0860	NA
s_0308	s_0308	NA
s_0432	s_0432	NA
s_0946	s_0946	NA
s_1001	s_1001	NA
s_1286	s_1286	NA
s_0603	s_0603	NA
s_1002	s_1002	NA
s_1287	s_1287	NA
s_0604	s_0604	NA
s_0549	s_0549	NA
s_0724	s_0724	NA
s_0748	s_0748	NA
