abbreviation	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
r_0926	(1) s_1207 + (1) s_1443 <-> (1) s_0364 + (1) s_0425	reversible	NA	-1000.00	1000.00	  0.00	(YLR209C)	
r_0927	(1) s_0446 + (1) s_1270 -> (1) s_0400 + (1) s_1271	irreversible	NA	  0.00	1000.00	  0.00		
r_0928	(1) s_0430 + (0.5) s_1160 + (1) s_1270 <-> (2) s_0801 + (1) s_1272	reversible	NA	-1000.00	1000.00	  0.00	(YBR035C)	
r_0929	(1) s_1160 + (1) s_1273 -> (1) s_0430 + (1) s_0801 + (1) s_1271	irreversible	NA	  0.00	1000.00	  0.00	(YBR035C)	
r_0930	(1) s_0446 + (1) s_1272 -> (1) s_0400 + (1) s_1273	irreversible	NA	  0.00	1000.00	  0.00		
r_0931	(1) s_1160 + (1) s_1276 <-> (1) s_0801 + (1) s_1271	reversible	NA	-1000.00	1000.00	  0.00	(YBR035C)	
r_0932	(1) s_0446 + (1) s_1274 -> (1) s_0400 + (1) s_1276	irreversible	NA	  0.00	1000.00	  0.00		
r_0933	(1) s_1160 + (1) s_1274 <-> (1) s_0801 + (1) s_1270	reversible	NA	-1000.00	1000.00	  0.00	(YBR035C)	
r_0934	(1) s_0319 -> (1) s_1207 + (1) s_0320	irreversible	NA	  0.00	1000.00	  0.00		
r_0935	(1) s_1207 + (1) s_1427 <-> (1) s_1421 + (1) s_0425	reversible	NA	-1000.00	1000.00	  0.00		
r_0936	(1) s_1096 + (1) s_0120 -> (1) s_1091 + (1) s_0939	irreversible	NA	  0.00	1000.00	  0.00	(YER023W)	
r_0937	(1) s_1277 + (1) s_0446 + (1) s_0458 -> (1) s_0400 + (1) s_1207 + (1) s_1156	irreversible	NA	  0.00	1000.00	  0.00	((YBR218C) or (YGL062W))	
r_0938	(1) s_1277 -> (1) s_0470 + (1) s_0366	irreversible	NA	  0.00	1000.00	  0.00	((YGR087C) or (YLR044C) or (YLR134W))	
r_0939	(1) s_1277 + (1) s_0366 -> (1) s_0023 + (1) s_0470	irreversible	NA	  0.00	1000.00	  0.00	((YGR087C) or (YLR044C) or (YLR134W))	
r_0940	(1) s_1279 + (1) s_1084 + (1) s_0517 -> (1) s_1089 + (1) s_0474 + (1) s_0383	irreversible	NA	  0.00	1000.00	  0.00	((YBR221C) and (YER178W) and (YFL018C) and (YGR193C) and (YNL071W))	
r_0941	(1) s_0400 + (1) s_1243 -> (1) s_1277 + (1) s_0446	irreversible	NA	  0.00	1000.00	  0.00	((YAL038W) or (YOR347C))	
r_0942	(1) s_0815 + (1) s_0735 -> (1) s_1207 + (1) s_1281	irreversible	NA	  0.00	1000.00	  0.00		
r_0943	(1) s_0151 -> (1) s_1281	irreversible	NA	  0.00	1000.00	  0.00		
r_0944	(1) s_1089 + (1) s_0161 + (1) s_1163 -> (1) s_1084 + (1) s_0159	irreversible	NA	  0.00	1000.00	  0.00	((YDR204W) and (YGL119W) and (YGR255C) and (YLR201C) and (YML110C) and (YOL096C) and (YOR125C))	
r_0945	(1) s_0452 + (1) s_0717 -> (1) s_0406 + (1) s_1214 + (1) s_0720	irreversible	NA	  0.00	1000.00	  0.00	(YDR135C)	
r_0946	(1) s_0446 + (1) s_1283 -> (1) s_0400 + (1) s_0683	irreversible	NA	  0.00	1000.00	  0.00	(YDR236C)	
r_0947	(1) s_0449 + (1) s_1285 -> (1) s_0403 + (1) s_0685	irreversible	NA	  0.00	1000.00	  0.00	(YDR236C)	
r_0948	(1) s_0163 + (1) s_0320 -> (1) s_1207 + (1) s_0335	irreversible	NA	  0.00	1000.00	  0.00	(YOL143C)	
r_0949	(2) s_0335 -> (1) s_0320 + (1) s_1283	irreversible	NA	  0.00	1000.00	  0.00	(YBR256C)	
r_0950	(1) s_0446 + (1) s_0555 -> (1) s_0400 + (1) s_0427	irreversible	NA	  0.00	1000.00	  0.00	(YCR036W)	
r_0951	(1) s_0404 + (1) s_1523 -> (1) s_0563 + (1) s_1519	irreversible	NA	  0.00	1000.00	  0.00	(((YER070W) and (YGR180C) and (YGR209C)) or ((YER070W) and (YGR180C) and (YLR043C)) or ((YGR180C) and (YGR209C) and (YIL066C)) or ((YGR180C) and (YIL066C) and (YLR043C)))	
r_0952	(1) s_0400 + (1) s_1521 -> (1) s_0562 + (1) s_1517	irreversible	NA	  0.00	1000.00	  0.00	(((YER070W) and (YGR209C) and (YJL026W)) or ((YER070W) and (YJL026W) and (YLR043C)) or ((YGR209C) and (YIL066C) and (YJL026W)) or ((YIL066C) and (YJL026W) and (YLR043C)))	
r_0953	(1) s_0481 + (1) s_1521 -> (1) s_0567 + (1) s_1517	irreversible	NA	  0.00	1000.00	  0.00	(((YER070W) and (YGR209C) and (YJL026W)) or ((YER070W) and (YJL026W) and (YLR043C)))	
r_0954	(1) s_1523 + (1) s_0482 -> (1) s_1519 + (1) s_0568	irreversible	NA	  0.00	1000.00	  0.00	(((YER070W) and (YGR180C) and (YGR209C)) or ((YER070W) and (YGR180C) and (YLR043C)))	
r_0955	(1) s_0706 + (1) s_1521 -> (1) s_0591 + (1) s_1517	irreversible	NA	  0.00	1000.00	  0.00	(((YER070W) and (YGR209C) and (YJL026W)) or ((YER070W) and (YJL026W) and (YLR043C)))	
r_0956	(1) s_1523 + (1) s_0709 -> (1) s_1519 + (1) s_0592	irreversible	NA	  0.00	1000.00	  0.00	(((YER070W) and (YGR180C) and (YGR209C)) or ((YER070W) and (YGR180C) and (YLR043C)))	
r_0957	(1) s_1411 + (1) s_1521 -> (1) s_1517 + (1) s_0622	irreversible	NA	  0.00	1000.00	  0.00	(((YER070W) and (YGR209C) and (YJL026W)) or ((YER070W) and (YJL026W) and (YLR043C)))	
r_0958	(1) s_1523 + (1) s_1412 -> (1) s_1519 + (1) s_0623	irreversible	NA	  0.00	1000.00	  0.00	(((YER070W) and (YGR180C) and (YGR209C)) or ((YER070W) and (YGR180C) and (YLR043C)))	
r_0959	(1) s_0446 + (1) s_1521 -> (1) s_0566 + (1) s_1517	irreversible	NA	  0.00	1000.00	  0.00	((YGR209C) or (YLR043C))	
r_0960	(1) s_0521 + (1) s_1521 -> (1) s_0570 + (1) s_1517	irreversible	NA	  0.00	1000.00	  0.00	((YGR209C) or (YLR043C))	
r_0961	(1) s_0755 + (1) s_1521 -> (1) s_1517 + (1) s_0595	irreversible	NA	  0.00	1000.00	  0.00	((YGR209C) or (YLR043C))	
r_0962	(1) s_1430 + (1) s_1521 -> (1) s_0626 + (1) s_1517	irreversible	NA	  0.00	1000.00	  0.00	((YGR209C) or (YLR043C))	
r_0963	(1) s_0427 <-> (1) s_0557	reversible	NA	-1000.00	1000.00	  0.00	(YOR095C)	
r_0964	(1) s_0446 + (1) s_1078 -> (1) s_0400 + (1) s_1108	irreversible	NA	  0.00	1000.00	  0.00	(YNL129W)	
r_0965	(1) s_0557 <-> (1) s_0561	reversible	NA	-1000.00	1000.00	  0.00	(YJL121C)	
r_0966	(1) s_1296 + (1) s_0220 -> (1) s_1292 + (1) s_0221	irreversible	NA	  0.00	1000.00	  0.00	((YDR204W) and (YGL119W) and (YGR255C) and (YLR201C) and (YML110C) and (YOL096C) and (YOR125C))	
r_0967	(1) s_1293 + (1) s_1448 -> (1) s_1290 + (1) s_0670	irreversible	NA	  0.00	1000.00	  0.00	(YML008C)	
r_0968	(1) s_1298 <-> (1) s_0689 + (1) s_0717	reversible	NA	-1000.00	1000.00	  0.00	(YJL068C)	
r_0969	(1) s_1082 + (1) s_0942 <-> (1) s_1087 + (1) s_0185 + (1) s_0929	reversible	NA	-1000.00	1000.00	  0.00	(YIR034C)	
r_0970	(1) s_1096 + (1) s_0899 + (1) s_0867 <-> (1) s_1091 + (1) s_0942	reversible	NA	-1000.00	1000.00	  0.00	(YNR050C)	
r_0971	(1) s_1303 <-> (1) s_0533 + (1) s_0735	reversible	NA	-1000.00	1000.00	  0.00	(YKL060C)	
r_0972	(1) s_1188 + (1) s_0944 -> (1) s_0515 + (1) s_0218 + (1) s_0471	irreversible	NA	  0.00	1000.00	  0.00	((YDR062W) or (YMR296C))	
r_0973	(2) s_0665 + (1) s_1312 <-> (1) s_1230	reversible	NA	-1000.00	1000.00	  0.00	(YML059C)	
r_0974	(1) s_0380 + (1) s_0943 -> (1) s_0514 + (1) s_1118	irreversible	NA	  0.00	1000.00	  0.00		
r_0975	(1) s_0446 + (1) s_0943 -> (1) s_0434 + (1) s_0605 + (1) s_1305	irreversible	NA	  0.00	1000.00	  0.00	((YDR023W) or (YHR011W))	
r_0976	(1) s_1096 + (1) s_0217 -> (1) s_1091 + (1) s_1306	irreversible	NA	  0.00	1000.00	  0.00	(YDR127W)	
r_0977	(1) s_0446 + (1) s_1306 -> (1) s_0400 + (1) s_0267	irreversible	NA	  0.00	1000.00	  0.00	(YDR127W)	
